Name,Identifier,Sub_Identifier,Prosopographical_Reference,Prosopographical_Reference_id,Work,Edition,Edition_id,Passage,Book,Casaubon_Reference,Kaibel_Reference,Is_Range,Note_Reference
"Adaeus of Mitylene","author of treatise on sculptors",,,,,,,,13,13.606a,13.84,,
Adaeus,"author of On the Sense of Words",,,,,,,,11,11.471f,11.42@11.43,,
Adaeus,"general of Philip II",,,,,,,,12,12.532e,12.43,,
"Adeimantus of Lampsacus","associate of Demetrius Poliorcetes",,Billows,#1,,,,,6,6.253a,6.62,,
"Adeimantus of Lampsacus","associate of Demetrius Poliorcetes",,Billows,#1,,,,,6,6.255c,6.66@6.67,,
Adiatomus,"king of Sotiani",,,,,,,,6,6.249a,6.54,"range start",
Adiatomus,"king of Sotiani",,,,,,,,6,6.249b,6.54,"range end",
Admete,"daughter of Eurystheus",,,,,,,,15,15.672a,15.12,"range start",
Admete,"daughter of Eurystheus",,,,,,,,15,15.672b,15.12,range,
Admete,"daughter of Eurystheus",,,,,,,,15,15.672c,15.12,range,
Admete,"daughter of Eurystheus",,,,,,,,15,15.672d,15.12,"range end",
Admetus,"king of Pherae",,,,,,,,15,15.695b,15.50,,
Adonis,"beloved of Aphrodite",,,,,,,,10,10.456a,10.83,"range start",
Adonis,"beloved of Aphrodite",,,,,,,,10,10.456b,10.83,"range end",
Adonis,"beloved of Aphrodite",,,,,,,,13,13.566d,13.20,,
Adonis,"beloved of Aphrodite",,,,,,,,13,13.575a,13.34@13.35,,
Adonis,"beloved of Aphrodite",,,,,,,,2,2.69b,2.79@2.80,"range start",
Adonis,"beloved of Aphrodite",,,,,,,,2,2.69c,2.80,range,
Adonis,"beloved of Aphrodite",,,,,,,,2,2.69d,2.80,"range end",
Adonis,"beloved of Aphrodite",,,,,,,,4,4.174f,4.76,,
Adon,"Phrygian pipe-player",,Stephanis,#53,,,,,14,14.624b,14.18,,
Adramytes,"king of Lydia",,,,,,,,12,12.515e,12.11,,
"Adrastus of Aphrodisias","Peripatetic philosopher",,,,,,,,15,15.673e,15.15,,"with note"
Adrastus,"one of Seven Against Thebes",,,,,,,,11,11.459d,11.1,,
Adrastus,"one of Seven Against Thebes",,,,,,,,11,11.468a,11.33,,
Adrastus,"one of Seven Against Thebes",,,,,,,,6,6.222d,6.1,,
Adrastus,"one of Seven Against Thebes",,,,,,,,6,6.222d,6.1,,note
Adreste,"slave-woman of Homeric Helen",,,,,,,,5,5.191a,5.17,,
Aegeus,"father of Theseus",,,,,,,,13,13.556f,13.4,,
Aegilus,"Attic hero",,,,,,,,14,14.652e,14.67,,
Aegimus,"author of treatise on cake-making",,,,,,,,14,14.643e,14.50@14.51,,
Aegina,"lover of Zeus",,,,,,,,13,13.566d,13.20,,
Aegisthus,"Homeric hero",,,,,,,,1,1.14b,1.24,,
Aegle,"wife of Theseus",,,,,,,,13,13.557a,13.4,,
"Aelius Asclepiades","author of treatise on wreaths",,,,,,,,15,15.676f,15.19,,
"Aelius Asclepiades","author of treatise on wreaths",,,,,,,,15,15.679b,15.23@15.24,,
"Aelius Tubero","cleverly evaded sumptuary law",,,,,,,,6,6.274c,6.107@6.108,"range start",
"Aelius Tubero","cleverly evaded sumptuary law",,,,,,,,6,6.274d,6.108,"range end",
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,1,1.1c,1.1@1.2,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,10,10.448b,10.68@10.69,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,14,14.634b,14.34@14.35,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,14,14.662f,14.83,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,3,3.126a,3.100,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,3,3.127a,3.101,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,3,3.127b,3.101,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,3,3.83b,3.25,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,4,4.169a,4.67,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,6,6.228e,6.14,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,9,9.405d,9.69@9.70,,
"Aemilianus Maurus","grammarian and deipnosophist",,,,,,,,9,9.405f,9.70,,
"Aemilius Paulus","Roman general",,,,,,,,5,5.194c,5.21@5.22,,
Aeneas,"prince of Troy",,,,,,,,1,1.11a,1.18,,"with note"
Aeneas,"prince of Troy",,,,,,,,14,14.632e,14.32,,
Aerope,courtesan,,PAA,108227,,,,,13,13.587d,13.52,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.611d,13.93,"range start",
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.611e,13.93@13.94,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.611f,13.94,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612a,13.94,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612b,13.94@13.95,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612c,13.95,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612d,13.95,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612e,13.95,range,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 16",13,13.612f,13.95,"range end",
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 21",11,11.507c,11.116,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 45",14,14.656f,14.74,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 56",5,5.220b,5.62,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 61",5,5.220b,5.62,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 73",5,5.220b,5.62,,
"Aeschines Socraticus of Athens",philosopher,,PAA,115140,,SSR,"VI A","F 84",5,5.220a,5.61@5.62,,
"Aeschines of Athens",orator,,PAA,115025,,,,1.75,13,13.572c,13.30,"range start",
"Aeschines of Athens",orator,,PAA,115025,,,,1.75,13,13.572d,13.30@13.31,"range end",
"Aeschines of Athens",orator,,PAA,115025,,,,3.83,6,6.223d,6.2@6.3,,
"Aeschines of Athens",orator,,PAA,115025,,,,,6,6.242d,6.41,,
"Aeschines of Athens",orator,,PAA,115025,,,,1.41,8,8.339b,8.21@8.22,,
"Aeschrion of Samos","iambic poet",,,,AP,,,7.345,8,8.335c,8.13,"range start",
"Aeschrion of Samos","iambic poet",,,,AP,,,7.345,8,8.335d,8.13,"range end",
"Aeschrion of Samos","iambic poet",,,,HE,,,1-9,8,8.335c,8.13,"range start",
"Aeschrion of Samos","iambic poet",,,,HE,,,1-9,8,8.335d,8.13,"range end",
"Aeschrion of Samos","iambic poet",,,,,SH,,4,8,8.335c,8.13,"range start",
"Aeschrion of Samos","iambic poet",,,,,SH,,4,8,8.335d,8.13,"range end",
"Aeschrion of Samos","iambic poet",,,,,SH,,5,7,7.296e,7.47@7.48,,
Aeschylides,"author of treatise on farming",,,,,,,,14,14.650d,14.63,,
"Aeschylus of Alexandria","epic and tragic poet and historian",,,,,FGrH,488,"T 1",13,13.599e,13.72,,
"Aeschylus of Alexandria","epic and tragic poet and historian",,,,,SH,,13,13,13.599e,13.72,,
"Aeschylus of Alexandria","epic and tragic poet and historian",,,,,TrGF,179,"F 1",13,13.599e,13.72,,
"Aeschylus of Athens","tragic poet",,,,Ag.,,,284,15,15.700e,15.60,,
"Aeschylus of Athens","tragic poet",,,,,FGE,,478-9,14,14.627c,14.23,"range start",
"Aeschylus of Athens","tragic poet",,,,,FGE,,478-9,14,14.627d,14.23@14.24,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F *180",1,1.17c,1.29@1.30,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F *180",1,1.17d,1.30,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F *182",1,1.11d,1.19,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F *182",1,1.11e,1.19,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F *1",2,2.37f,2.6,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 116",2,2.51c,2.36,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 116",2,2.51d,2.36,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 124",10,10.447c,10.67,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 135",13,13.602e,13.79,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 139.4",11,11.494a,11.85,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 139.4",11,11.494b,11.85@11.86@11.87,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 146",11,11.503c,11.109,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 14",15,15.690c,15.41,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 179.4",11,11.782e,11.22,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 179",15,15.667c,15.5,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 179",15,15.667d,15.5,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 184",11,11.499a,11.99,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 185",11,11.476c,11.51,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 202",15,15.674d,15.16,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 210",9,9.394a,9.50,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 211",2,2.67c,2.75@2.76,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 235",15,15.674d,15.16,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 235",15,15.674e,15.16,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 257",9,9.394a,9.50,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 258",10,10.421f,10.18,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 261",9,9.402b,9.65,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 264",2,2.51c,2.36,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 285",3,3.86b,3.31@3.32,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 2a",7,7.316b,7.100,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 306",2,2.67f,2.76@2.77,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 307",7,7.303c,7.66@7.67,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 308",7,7.303c,7.66@7.67,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 309",9,9.375e,9.17,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 310",9,9.375e,9.17,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 311",9,9.375e,9.17,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 312",11,11.491a,11.80,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 313a",13,13.573b,13.31@13.32,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 313a",13,13.573c,13.32,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 313",12,12.528c,12.36@12.37,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 314",14,14.632c,14.32,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 34",3,3.87a,3.33,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 393",10,10.427f,10.31,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 406",3,3.99b,3.54@3.55,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 424",8,8.362f,8.64,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 44",13,13.600a,13.73,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 44",13,13.600b,13.73@13.74,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 57.6",11,11.479b,11.57,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 69",11,11.469f,11.38@11.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 72",10,10.424d,10.23@10.24,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 79",14,14.629f,14.27,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 91",4,4.182b,4.79,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"F 95",9,9.373d,9.15,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 103",1,1.21e,1.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 10",1,1.19e,1.35,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 112a",8,8.347e,8.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 113a",8,8.347e,8.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 117a",10,10.428f,10.33,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 117b",1,1.22a,1.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 162",14,14.627c,14.23,"range start",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 162",14,14.627d,14.23@14.24,"range end",
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 81",1,1.22a,1.39,,
"Aeschylus of Athens","tragic poet",,,,,"Radt ed.",,"T 92a",9,9.402c,9.65@9.66,,
"Aeschylus of Athens","tragic poet",,,,,,,,1,1.17f,1.30@1.31,,
"Aeschylus of Athens","tragic poet",,,,,,,,1,1.19e,1.35,,
"Aeschylus of Athens","tragic poet",,,,,,,,1,1.21d,1.38@1.39,"range start",
"Aeschylus of Athens","tragic poet",,,,,,,,1,1.21e,1.39,range,
"Aeschylus of Athens","tragic poet",,,,,,,,1,1.21f,1.39,"range end",
"Aeschylus of Athens","tragic poet",,,,,,,,13,13.601a,13.75,"range start",
"Aeschylus of Athens","tragic poet",,,,,,,,13,13.601b,13.75@13.76,"range end",
"Aeschylus of Athens","tragic poet",,,,,,,,3,3.95b,3.48,,
Aesop,"composed fables",,,,,,,,10,10.431d,10.38,"range start",
Aesop,"composed fables",,,,,,,,10,10.431e,10.38,range,
Aesop,"composed fables",,,,,,,,10,10.431f,10.38@10.39,"range end",
Aesop,"composed fables",,,,,,,,5,5.219a,5.60@5.61,,
"Aethiops of Corinth","hedonist mentioned by Archilochus",,,,,,,,4,4.167d,4.63@4.64,,
"Aethlius of Samos",historian,,,,,FGrH,536,"F 1a",14,14.653f,14.68,,
"Aethlius of Samos",historian,,,,,FGrH,536,"F 1b",14,14.650d,14.63,"range start",
"Aethlius of Samos",historian,,,,,FGrH,536,"F 1b",14,14.650e,14.63@14.64,"range end",
Aethops,"horse belonging to Helios",,,,,,,,11,11.465b,11.13,,
Aethra,"mother of Theseus",,,,,,,,13,13.556f,13.4,,
Aethêx,"son of Janus",,,,,,,,15,15.692e,15.46,,
Aetolus,"son of Oeneus",,,,,,,,2,2.35b,2.1,,
"Agallis of Corcyra",grammarian,,,,,,,,1,1.14d,1.24@1.25,,
Agallis,courtesan,,PAA,105710,,,,,13,13.583e,13.46,,
Agamemnon,"Homeric hero",,,,,,,,1,1.11a,1.18,,
Agamemnon,"Homeric hero",,,,,,,,1,1.11b,1.18@1.19,,
Agamemnon,"Homeric hero",,,,,,,,1,1.13f,1.23,,
Agamemnon,"Homeric hero",,,,,,,,1,1.14b,1.24,,
Agamemnon,"Homeric hero",,,,,,,,1,1.16a,1.27@1.28,"range start",
Agamemnon,"Homeric hero",,,,,,,,1,1.16b,1.28,"range end",
Agamemnon,"Homeric hero",,,,,,,,1,1.17e,1.30,,
Agamemnon,"Homeric hero",,,,,,,,1,1.9a,1.15,,
Agamemnon,"Homeric hero",,,,,,,,10,10.433b,10.41@10.42,,
Agamemnon,"Homeric hero",,,,,,,,13,13.556c,13.3,,
Agamemnon,"Homeric hero",,,,,,,,13,13.556e,13.3@13.4,,
Agamemnon,"Homeric hero",,,,,,,,13,13.560d,13.10,,
Agamemnon,"Homeric hero",,,,,,,,13,13.603d,13.80,,
Agamemnon,"Homeric hero",,,,,,,,14,14.660b,14.79,,
Agamemnon,"Homeric hero",,,,,,,,14,14.660d,14.79@14.80,,
Agamemnon,"Homeric hero",,,,,,,,15,15.688a,15.36,,
Agamemnon,"Homeric hero",,,,,,,,2,2.41d,2.14@2.15,,
Agamemnon,"Homeric hero",,,,,,,,4,4.137e,4.14,,
Agamemnon,"Homeric hero",,,,,,,,5,5.177d,5.4,"range start",
Agamemnon,"Homeric hero",,,,,,,,5,5.177e,5.4,range,
Agamemnon,"Homeric hero",,,,,,,,5,5.177f,5.4,range,
Agamemnon,"Homeric hero",,,,,,,,5,5.178a,5.4@5.5,range,
Agamemnon,"Homeric hero",,,,,,,,5,5.178b,5.5,range,
Agamemnon,"Homeric hero",,,,,,,,5,5.178c,5.5,range,
Agamemnon,"Homeric hero",,,,,,,,5,5.178d,5.5,"range end",
Agamemnon,"Homeric hero",,,,,,,,5,5.192c,5.19,,
Agamemnon,"Homeric hero",,,,,,,,5,5.192f,5.20,,
Agamemnon,"Homeric hero",,,,,,,,6,6.231c,6.19,,note
Agamemnon,"Homeric hero",,,,,,,,8,8.340f,8.25,,
Agariste,"daughter of Cleisthenes of Sicyon",,,,,,,,12,12.541b,12.58,,
Agariste,"daughter of Cleisthenes of Sicyon",,,,,,,,6,6.273c,6.105,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 10",12,12.550c,12.74,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 10",12,12.550d,12.74,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 11",12,12.550d,12.74,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 11",12,12.550e,12.74,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 12",4,4.168d,4.66,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 13",6,6.251f,6.59,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 14",12,12.528a,12.35@12.36,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 15",9,9.387c,9.37@9.38,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 16",12,12.527f,12.35,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 16",12,12.528a,12.35@12.36,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 17",6,6.246e,6.49,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 18",1,1.28d,1.50@1.51,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 18",1,1.28e,1.51,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 2",4,4.155c,4.42,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 2",4,4.155d,4.42,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 3",12,12.539c,12.55,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 5",7,7.297d,7.50,,
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 6",12,12.527b,12.33,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 6",12,12.527c,12.33@12.34,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 7",12,12.550b,12.73@12.74,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 7",12,12.550c,12.74,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 8",14,14.650f,14.64,"range start",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 8",14,14.651a,14.64,"range end",
"Agatharchides of Cnidus",historian,,,,,FGrH,86,"F 9",6,6.246e,6.49,,
Agathocleia,"courtesan and lover of Ptolemy II",,,,,,,,13,13.576f,13.37,,
Agathocleia,"courtesan and lover of Ptolemy IV",,,,,,,,13,13.576f,13.37,"range start",
Agathocleia,"courtesan and lover of Ptolemy IV",,,,,,,,13,13.577a,13.37@13.38,"range end",
"Agathocles of Atrax","author of treatise on fishing",,,,,,,,1,1.13c,1.22,,"with note"
"Agathocles of Cyzicus",historian,,,,,FGrH,472,"F 1a",9,9.375f,9.17@9.18,"range start",
"Agathocles of Cyzicus",historian,,,,,FGrH,472,"F 1a",9,9.376a,9.18,"range end",
"Agathocles of Cyzicus",historian,,,,,FGrH,472,"F 3",12,12.515a,12.9@12.10,,
"Agathocles of Cyzicus",historian,,,,,FGrH,472,"F 4",14,14.649f,14.62,"range start",
"Agathocles of Cyzicus",historian,,,,,FGrH,472,"F 4",14,14.650a,14.62,"range end",
